"",Binary Tree,"Binary Tree Right Side View","","",https://leetcode.com/problems/binary-tree-right-side-view,4, 72
"",String,"Longest Palindromic Substring","","",https://leetcode.com/problems/longest-palindromic-substring,4, 73
"",Dynamic Programming,"Unique Paths","","",https://leetcode.com/problems/unique-paths,4, 74
"",Binary Tree,"Construct Binary Tree from Preorder and Inorder Traversal","","",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,4, 75

"",Array,"Container With Most Water","","",https://leetcode.com/problems/container-with-most-water,5, 76
"",Recursion,"Letter Combinations of a Phone Number","","",https://leetcode.com/problems/letter-combinations-of-a-phone-number,5, 77
"",Graph,"Word Search","","",https://leetcode.com/problems/word-search,5, 78
"",String,"Find All Anagrams in a String","","",https://leetcode.com/problems/find-all-anagrams-in-a-string,5, 79
"",Graph,"Minimum Height Trees","","",https://leetcode.com/problems/minimum-height-trees,5, 80
"",Heap,"Task Scheduler","","",https://leetcode.com/problems/task-scheduler,5, 81
"",Linked List,"LRU Cache","","",https://leetcode.com/problems/lru-cache,5, 82
"",Binary Search Tree,"Kth Smallest Element in a BST","","",https://leetcode.com/problems/kth-smallest-element-in-a-bst,5, 83
"",Stack,"Daily Temperatures","","",https://leetcode.com/problems/daily-temperatures,5, 84
"",Dynamic Programming,"House Robber","","",https://leetcode.com/problems/house-robber,5, 85
"",Array,"Gas Station","","",https://leetcode.com/problems/gas-station,5, 86
"",Recursion,"Next Permutation","","",https://leetcode.com/problems/next-permutation,5, 87
"",Matrix,"Valid Sudoku","","",https://leetcode.com/problems/valid-sudoku,5, 88
"",String,"Group Anagrams","","",https://leetcode.com/problems/group-anagrams,5, 89

"",Dynamic Programming,"Maximum Product Subarray","","",https://leetcode.com/problems/maximum-product-subarray,6, 90
"",Trie,"Design Add and Search Words Data Structure","","",https://leetcode.com/problems/design-add-and-search-words-data-structure,6, 91
"",Graph,"Pacific Atlantic Water Flow","","",https://leetcode.com/problems/pacific-atlantic-water-flow,6, 92
"",Linked List,"Remove Nth Node From End of List","","",https://leetcode.com/problems/remove-nth-node-from-end-of-list,6, 93
"",Graph,"Shortest Path to Get Food","","",https://leetcode.com/problems/shortest-path-to-get-food,6, 94
"",Binary,"Find the Duplicate Number","","",https://leetcode.com/problems/find-the-duplicate-number,6, 95
"",Heap,"Top K Frequent Words","","",https://leetcode.com/problems/top-k-frequent-words,6, 96
"",Dynamic Programming,"Longest Increasing Subsequence","","",https://leetcode.com/problems/longest-increasing-subsequence,6, 97
"",Graph,"Graph Valid Tree","","",https://leetcode.com/problems/graph-valid-tree,6, 98
"",Graph,"Course Schedule II","","",https://leetcode.com/problems/course-schedule-ii,6, 99
"",Linked List,"Swap Nodes in Pairs","","",https://leetcode.com/problems/swap-nodes-in-pairs,6, 100
"",Binary Tree,"Path Sum II","","",https://leetcode.com/problems/path-sum-ii,6, 101
"",Array,"Longest Consecutive Sequence","","",https://leetcode.com/problems/longest-consecutive-sequence,6, 102
"",Array,"Rotate Array","","",https://leetcode.com/problems/rotate-array,6, 103
"",Linked List,"Odd Even Linked List","","",https://leetcode.com/problems/odd-even-linked-list,6, 104

"",Stack,"Decode String","","",https://leetcode.com/problems/decode-string,7, 105
"",Array,"Contiguous Array","","",https://leetcode.com/problems/contiguous-array,7, 106
"",Binary Tree,"Maximum Width of Binary Tree","","",https://leetcode.com/problems/maximum-width-of-binary-tree,7, 107
"",Heap,"Find K Closest Elements","","",https://leetcode.com/problems/find-k-closest-elements,7, 108
"",String,"Longest Repeating Character Replacement","","",https://leetcode.com/problems/longest-repeating-character-replacement,7, 109
"",Binary Search Tree,"Inorder Successor in BST","","",https://leetcode.com/problems/inorder-successor-in-bst,7, 110
"",Dynamic Programming,"Jump Game","","",https://leetcode.com/problems/jump-game,7, 111
"",Linked List,"Add Two Numbers","","",https://leetcode.com/problems/add-two-numbers,7, 112
"",Recursion,"Generate Parentheses","","",https://leetcode.com/problems/generate-parentheses,7, 113
"",Linked List,"Sort List","","",https://leetcode.com/problems/sort-list,7, 114
"",Graph,"Number of Connected Components in an Undirected Graph","","",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,7, 115
"",Graph,"Minimum Knight Moves","","",https://leetcode.com/problems/minimum-knight-moves,7, 116
"",Array,"Subarray Sum Equals K","","",https://leetcode.com/problems/subarray-sum-equals-k,7, 117
"",Stack,"Asteroid Collision","","",https://leetcode.com/problems/asteroid-collision,7, 118
"",Math,"Random Pick with Weight","","",https://leetcode.com/problems/random-pick-with-weight,7, 119

"",Heap,"Kth Largest Element in an Array","","",https://leetcode.com/problems/kth-largest-element-in-an-array,8, 120
"",Dynamic Programming,"Maximal Square","","",https://leetcode.com/problems/maximal-square,8, 121
"",Matrix,"Rotate Image","","",https://leetcode.com/problems/rotate-image,8, 122
"",Binary Tree,"Binary Tree Zigzag Level Order Traversal","","",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,8, 123
"",Queue,"Design Hit Counter","","",https://leetcode.com/problems/design-hit-counter,8, 124
"",Binary Tree,"Path Sum III","","",https://leetcode.com/problems/path-sum-iii,8, 125
"",Math,"Pow(x, n)","","",https://leetcode.com/problems/powx-n,8, 126
"",Binary Search,"Search a 2D Matrix","","",https://leetcode.com/problems/search-a-2d-matrix,8, 127
"",String,"Largest Number","","",https://leetcode.com/problems/largest-number,8, 128
"",Dynamic Programming,"Decode Ways","","",https://leetcode.com/problems/decode-ways,8, 129
"",Array,"Meeting Rooms II","","",https://leetcode.com/problems/meeting-rooms-ii,8, 130
"",Math,"Reverse Integer","","",https://leetcode.com/problems/reverse-integer,8, 131
"",Matrix,"Set Matrix Zeroes","","",https://leetcode.com/problems/set-matrix-zeroes,8, 132
"",Linked List,"Reorder List","","",https://leetcode.com/problems/reorder-list,8, 133
"",String,"Encode and Decode Strings","","",https://leetcode.com/problems/encode-and-decode-strings,8, 134

"",Graph,"Cheapest Flights Within K Stops","","",https://leetcode.com/problems/cheapest-flights-within-k-stops,9, 135
"",Binary Tree,"All Nodes Distance K in Binary Tree","","",https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,9, 136
"",Array,"3Sum Closest","","",https://leetcode.com/problems/3sum-closest,9, 137
"",Linked List,"Rotate List","","",https://leetcode.com/problems/rotate-list,9, 138
"",Binary Search,"Find Minimum in Rotated Sorted Array","","",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,9, 139
"",Stack,"Basic Calculator II","","",https://leetcode.com/problems/basic-calculator-ii,9, 140
"",Dynamic Programming,"Combination Sum IV","","",https://leetcode.com/problems/combination-sum-iv,9, 141
"",Hash Table,"Insert Delete GetRandom O(1)","","",https://leetcode.com/problems/insert-delete-getrandom-o1,9, 142
"",Array,"Non-overlapping Intervals","","",https://leetcode.com/problems/non-overlapping-intervals,9, 143
"",String,"Minimum Window Substring","","",https://leetcode.com/problems/minimum-window-substring,9, 144
"",Binary Tree,"Serialize and Deserialize Binary Tree","","",https://leetcode.com/problems/serialize-and-deserialize-binary-tree,9, 145
"",Stack,"Trapping Rain Water","","",https://leetcode.com/problems/trapping-rain-water,9, 146
"",Heap,"Find Median from Data Stream","","",https://leetcode.com/problems/find-median-from-data-stream,9, 147

"",Graph,"Word Ladder","","",https://leetcode.com/problems/word-ladder,10, 148
"",Stack,"Basic Calculator","","",https://leetcode.com/problems/basic-calculator,10, 149
"",Binary Search,"Maximum Profit in Job Scheduling","","",https://leetcode.com/problems/maximum-profit-in-job-scheduling,10, 150
"",Heap,"Merge k Sorted Lists","","",https://leetcode.com/problems/merge-k-sorted-lists,10, 151
"",Stack,"Largest Rectangle in Histogram","","",https://leetcode.com/problems/largest-rectangle-in-histogram,10, 152
"",Binary Tree,"Binary Tree Maximum Path Sum","","",https://leetcode.com/problems/binary-tree-maximum-path-sum,10, 153
"",Stack,"Maximum Frequency Stack","","",https://leetcode.com/problems/maximum-frequency-stack,10, 154
"",Binary Search,"Median of Two Sorted Arrays","","",https://leetcode.com/problems/median-of-two-sorted-arrays,10, 155
"",Graph,"Longest Increasing Path in a Matrix","","",https://leetcode.com/problems/longest-increasing-path-in-a-matrix,10, 156
"",Stack,"Longest Valid Parentheses","","",https://leetcode.com/problems/longest-valid-parentheses,10, 157
"",Trie,"Design In-Memory File System","","",https://leetcode.com/problems/design-in-memory-file-system,10, 158

"",Array,"Employee Free Time","","",https://leetcode.com/problems/employee-free-time,11, 159
"",Graph,"Word Search II","","",https://leetcode.com/problems/word-search-ii,11, 160
"",Graph,"Alien Dictionary","","",https://leetcode.com/problems/alien-dictionary,11, 161
"",Graph,"Bus Routes","","",https://leetcode.com/problems/bus-routes,11, 162
"",Array,"Sliding Window Maximum","","",https://leetcode.com/problems/sliding-window-maximum,11, 163
"",String,"Palindrome Pairs","","",https://leetcode.com/problems/palindrome-pairs,11, 164
"",Linked List,"Reverse Nodes in k-Group","","",https://leetcode.com/problems/reverse-nodes-in-k-group,11, 165
"",Matrix,"Sudoku Solver","","",https://leetcode.com/problems/sudoku-solver,11, 166
"",Hash Table,"First Missing Positive","","",https://leetcode.com/problems/first-missing-positive,11, 167
"",Recursion,"N-Queens","","",https://leetcode.com/problems/n-queens,11, 168
"",Heap,"Smallest Range Covering Elements from K Lists","","",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,11, 169

